year,make,model,mileage,title_status,location,engine,drivetrain,transmission,body_style,exterior_color,interior_color,num_modifications,sale_price,date,url,image_url
2003,Porsche,996 911,"109,719 miles",Clean (CA),"Santa Clarita, CA 91387",3.6L Flat-6,4WD/AWD,Manual (6-Speed),Coupe,Black,Graphite Grey,1,34111,7/28/23,https://carsandbids.com/auctions/ybQknlr2/2003-porsche-911-carrera-4s-coupe,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/20309e251cb7341d1fb94cb5d4546882260d2202/photos/KYyxZpJM-Rb8Rvf0GNa-(edit).jpg?t=168693774100"
2000,Porsche,996 911,"107,698 miles",Clean (CA),"Felton, CA 95018",3.4L Flat-6,Rear-wheel drive,Manual (6-Speed),Coupe,Dark Blue,Gray,3,20487,8/2/24,https://carsandbids.com/auctions/fxzNXp9H/2000-porsche-911-carrera-coupe,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/c51905b0000b639a185eeb080dd879bf007f5604/photos/r4ogNqVP-SaY1LlSV9s-(edit).jpg?t=171696306375"
2001,Porsche,996 911,"59,618 miles",Clean (WA),"Bonney Lake, WA 98391",3.6L Turbocharged Flat-6,4WD/AWD,Manual (6-speed),Coupe,Seal Grey Metallic,Graphite Grey,5,45389,7/18/20,https://carsandbids.com/auctions/JtqbLbYr/2001-porsche-911-turbo-coupe-v2,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/5a0782a85481fa3b119f02e7897ea3b11e56d666/photos/UcjdIC1pr.jpg?t=159528613600"
2002,Porsche,996 911,"135,859 miles",Clean (CA),"Los Angeles, CA 90066",3.6L Flat-6,4WD/AWD,Manual (6-Speed),Coupe,Lapis Blue Metallic,Graphite Grey,6,30854,4/10/24,https://carsandbids.com/auctions/qY4d9n0X/2002-porsche-911-carrera-4s-coupe-3,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/d9b636c2ec84ddc3bc7f2eb32861b39bdd5f9683/photos/3B0VBjeX-W4HJNFqUhQ-(edit).jpg?t=171131271380"
1999,Porsche,996 911,"140,184 miles",Clean (NY),"Brooklyn, NY 11221",3.4L Flat-6,Rear-wheel drive,Manual (6-Speed),Convertible,Arctic Silver Metallic,Black,12,18624,8/1/25,https://carsandbids.com/auctions/4bR6IIl9/1999-porsche-911-carrera-cabriolet-v2,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/d9b636c2ec84ddc3bc7f2eb32861b39bdd5f9683/photos/exterior/rkEnR7WN-MtwZryg/edit/34h7d.jpg?t=175625907070"
1999,Porsche,996 911,"70,583 miles",Clean (CA),"Oakland, CA 94602",3.4L Flat-6,Rear-wheel drive,Manual (6-Speed),Convertible,Black,Black,1,25478,7/17/21,https://carsandbids.com/auctions/a4miS40u/1999-porsche-911-carrera-cabriolet,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/ee7f173e46ec801a48d1673c50f9cebaa1bf2854/photos/r4745v6n.8wHOU8-sr-(edit).jpg?t=162582656439"
2004,Porsche,996 911,"90,145 miles",Clean (TX),"Rowlett, TX 75089",3.6L Flat-Six,Rear-wheel drive,Manual (6-Speed),Coupe,GT Silver Metallic,Natural Grey,5,28894,7/16/20,https://carsandbids.com/auctions/7x6ygsij/2004-porsche-911-carrera-coupe-40th-anniversary-edition-v2,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/d5bbad7af200e871991f55691eb2c40b41d80868/photos/-KbXKggL1.jpg?t=159188152884"
2000,Porsche,996 911,"206,049 miles","Registered (ON, Canada)","Niagara Falls, ON, Canada",3.4L Flat-6,Rear-wheel drive,Manual (6-Speed),Convertible,Purple,Black,10,10987,1/11/24,https://carsandbids.com/auctions/3MwPYxTs/2000-porsche-911-carrera-cabriolet-2,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/7a0a3c6148108c9c64425dd85e0181fa3cccb652/photos/KZRNNp7O-WmiR9iSiZM-(edit).jpg?t=170114677767"
2000,Porsche,996 911,"56,548 miles",Clean (FL),"Vero Beach, FL 32960",3.4L Flat-6,Rear-wheel drive,Automatic (5-Speed),Convertible,Ocean Blue Metallic,Grey,4,22656,12/26/24,https://carsandbids.com/auctions/cL57nJ6i/2000-porsche-911-carrera-cabriolet,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/7a0a3c6148108c9c64425dd85e0181fa3cccb652/photos/98QvN0mY-LQ-0FK8HW1o/edit/Srz-A.jpg?t=173683142906"
2000,Porsche,996 911,"97,459 miles",Clean (CA),"Felton, CA 95018",3.4L Flat-6,Rear-wheel drive,Manual (6-Speed),Coupe,Dark Blue,Gray,3,17626,8/4/24,https://carsandbids.com/auctions/PTuanQvW/2000-porsche-911-carrera-coupe,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/c51905b0000b639a185eeb080dd879bf007f5604/photos/r4ogNqVP-SaY1LlSV9s-(edit).jpg?t=171696306375"
2005,Porsche,996 911,"107,502 miles",Clean (MT),"Farmington, UT 84025",3.6L Flat-6,4WD/AWD,Manual (6-Speed),Coupe,Atlas Grey Metallic,Black,5,30388,9/20/24,https://carsandbids.com/auctions/xHgD1OQk/2005-porsche-911-carrera-4s-coupe,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/20309e251cb7341d1fb94cb5d4546882260d2202/photos/rNXdGQGE-uc0SmEv1mc-(edit).jpg?t=172571929574"
2000,Porsche,996 911,"103,876 miles",Clean (CA),"Felton, CA 95018",3.4L Flat-6,Rear-wheel drive,Manual (6-Speed),Coupe,Dark Blue,Gray,2,18791,8/10/24,https://carsandbids.com/auctions/3je68u93/2000-porsche-911-carrera-coupe,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/c51905b0000b639a185eeb080dd879bf007f5604/photos/r4ogNqVP-SaY1LlSV9s-(edit).jpg?t=171696306375"
2002,Porsche,996 911,"42,866 miles",Clean (IN),"Grand Rapids, MI 49548",3.6L Turbocharged Flat-6,Rear-wheel drive,Manual (6-Speed),Coupe,Arctic Silver Metallic,Black,5,94085,1/1/23,https://carsandbids.com/auctions/8zI5HOsf/2002-porsche-911-gt2-v2,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/7a0a3c6148108c9c64425dd85e0181fa3cccb652/photos/KmowQjaN-ToWghAZ-IG-(edit).jpg?t=167433810733"
2004,Porsche,996 911,"41,435 miles",Clean (OH),"Cincinnati, OH 45247",3.6L Turbocharged Flat-6,4WD/AWD,Manual (6-Speed),Convertible,Black,Graphite Grey,3,50187,5/8/25,https://carsandbids.com/auctions/PLmbksf0/2004-porsche-911-turbo-cabriolet-3,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/d9b636c2ec84ddc3bc7f2eb32861b39bdd5f9683/photos/9lzn6WXg-EFDLP3MMtk/edit/x5W5D.jpg?t=174355703391"
2002,Porsche,996 911,"9,054 miles",Clean (RI),"Warwick, RI 02886",3.6L Turbocharged Flat-6,Rear-wheel drive,Manual (6-Speed),Coupe,Black,Black,0,126051,5/18/23,https://carsandbids.com/auctions/wBqCoqdU/2002-porsche-911-gt2,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/59339d5e07287c702e69307de910cceaa69c1d04/photos/rG5gR75g-f7S9Qwp7Ky-(edit).jpg?t=168271841087"
2000,Porsche,996 911,"109,843 miles",Clean (CA),"Felton, CA 95018",3.4L Flat-6,Rear-wheel drive,Manual (6-Speed),Coupe,Dark Blue,Gray,3,18680,8/1/24,https://carsandbids.com/auctions/0YzH1D2D/2000-porsche-911-carrera-coupe,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/c51905b0000b639a185eeb080dd879bf007f5604/photos/r4ogNqVP-SaY1LlSV9s-(edit).jpg?t=171696306375"
2000,Porsche,996 911,"58,088 miles",Clean (FL),"Tampa, FL 33611",3.4L Flat-6,4WD/AWD,Manual (6-Speed),Convertible,Ocean Blue Metallic,Savanna Beige,4,19746,3/20/26,https://carsandbids.com/auctions/QMhUk98Y/2000-porsche-911-carrera-4-cabriolet-2,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/39ba75f9b610a05237adc3ca976891cd48f5832c/photos/exterior/9lb7npMK-6RR86n9/edit/FXa4B.jpg?t=177559603457"
2003,Porsche,996 911,"44,172 miles",Clean (PA),"Pittsburgh, PA 15221",3.6L Flat-6,Rear-wheel drive,Manual (6-Speed),Convertible,Seal Grey Metallic,Black,13,28760,5/28/24,https://carsandbids.com/auctions/44eyyurC/2003-porsche-911-carrera-cabriolet,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/c7387fa5557775cb743f87fc02d6cb831afb20b2/photos/rwR8jwlK-qZxamyksKR-(edit).jpg?t=171514593142"
