year,make,model,mileage,title_status,location,engine,drivetrain,transmission,body_style,exterior_color,interior_color,num_modifications,sale_price,date,url
2019,Mazda,ND Miata,"64,800",Clean (GA),"Lilburn, GA 30047",2.0L I4,Rear-wheel drive,Manual (6-Speed),Convertible,Soul Red Crystal Metallic,Tan,4,16650,9/25/25,https://carsandbids.com/auctions/3v2z84jN/2019-mazda-mx-5-miata-grand-touring
2019,Mazda,ND Miata,"29,400",Clean (MD),"Baltimore, MD 21224",2.0L I4,Rear-wheel drive,Manual (6-Speed),Convertible,Snowflake White Pearl,Auburn,3,20750,9/17/25,https://carsandbids.com/auctions/rNvawpZG/2019-mazda-mx-5-miata-rf-grand-touring
2022,Mazda,ND Miata,"16,200",Clean (AZ),"Phoenix, AZ 85021",2.0L I4,Rear-wheel drive,Manual (6-Speed),Convertible,Snowflake White Pearl,Black,7,25750,9/15/25,https://carsandbids.com/auctions/3OYekNWy/2022-mazda-mx-5-miata-club
2024,Mazda,ND Miata,"6,300",Clean (IL),"New Baden, IL 62265",2.0L I4,Rear-wheel drive,Manual (6-Speed),Convertible,Soul Red Crystal,Black,9,23750,9/11/25,https://carsandbids.com/auctions/KVGVLRJY/2024-mazda-mx-5-miata-sport
2019,Mazda,ND Miata,"10,300",Clean (OR),"Hillsboro, OR 97123",2.0L I4,Rear-wheel drive,Manual (6-Speed),Convertible,Jet Black,Black,6,22000,9/4/25,https://carsandbids.com/auctions/rjJ7w5LY/2019-mazda-mx-5-miata-club
2024,Mazda,ND Miata,"2,100",Clean (WI),"Eau Claire, WI 54703",2.0L I4,Rear-wheel drive,Manual (6-Speed),Convertible,Machine Gray Metallic,Black,3,31500,8/27/25,https://carsandbids.com/auctions/KZPGOWMo/2024-mazda-mx-5-miata-rf-grand-touring
2016,Mazda,ND Miata,"61,000",Clean (FL),"Bradenton, FL 34212",2.0L I4,Rear-wheel drive,Manual (6-Speed),Convertible,Meteor Gray Mica,Black,9,13700,8/26/25,https://carsandbids.com/auctions/9XDepmRz/2016-mazda-mx-5-miata-club
2017,Mazda,ND Miata,"36,400",Clean (KY),"Louisville, KY 40245",2.0L Supercharged I4,Rear-wheel drive,Manual (6-Speed),Convertible,Machine Gray Metallic,Black,4,21500,8/18/25,https://carsandbids.com/auctions/rMPaWaVL/2017-mazda-mx-5-miata-rf-club
2016,Mazda,ND Miata,"25,000",Clean (CA),"Pasadena, CA 91104",2.0L Turbocharged I4,Rear-wheel drive,Manual (6-Speed),Convertible,Ceramic,Black,22,18250,8/11/25,https://carsandbids.com/auctions/3vqjZ1QM/2016-mazda-mx-5-miata-grand-touring
2017,Mazda,ND Miata,"56,200",Clean (GA),"Hampton, GA 30228",2.0L I4,Rear-wheel drive,Manual (6-Speed),Convertible,Soul Red Metallic,Black,14,17500,8/6/25,https://carsandbids.com/auctions/rjqjjqnY/2017-mazda-mx-5-miata-rf-club
2022,Mazda,ND Miata,"30,500",Clean (OH),"Coldwater, OH 45828",2.0L I4,Rear-wheel drive,Manual (6-Speed),Convertible,Snowflake White Pearl,Black,0,23750,8/1/25,https://carsandbids.com/auctions/r4VBBp6g/2022-mazda-mx-5-miata-rf-club
2016,Mazda,ND Miata,"77,600",Clean (TX),"Missouri City, TX 77459",2.0L I4,Rear-wheel drive,Manual (6-Speed),Convertible,Jet Black,Black,7,12900,7/28/25,https://carsandbids.com/auctions/9XJNmzll/2016-mazda-mx-5-miata-club
2022,Mazda,ND Miata,"67,800",Clean (FL),"Lake Worth, FL 33467",2.0L I4,Rear-wheel drive,Manual (6-Speed),Convertible,Polymetal Gray Metallic,Black,3,20500,7/21/25,https://carsandbids.com/auctions/9X6NQybo/2022-mazda-mx-5-miata-rf-grand-touring
2022,Mazda,ND Miata,"15,000",Clean (CT),"Unionville, CT 06085",2.0L I4,Rear-wheel drive,Manual (6-Speed),Convertible,Machine Gray Metallic,Black,2,28000,7/7/25,https://carsandbids.com/auctions/98mYl2EY/2022-mazda-mx-5-miata-club
2020,Mazda,ND Miata,"12,300",Clean (WA),"Lynnwood, WA 98037",2.0L I4,Rear-wheel drive,Manual (6-Speed),Convertible,Soul Red Crystal,Black,5,28500,7/1/25,https://carsandbids.com/auctions/KV4RqA06/2020-mazda-mx-5-miata-rf-club
2019,Mazda,ND Miata,"30,900",Clean (FL),"Clermont, FL 34714",2.0L I4,Rear-wheel drive,Manual (6-Speed),Convertible,Machine Gray Metallic,Black,31,20250,6/25/25,https://carsandbids.com/auctions/3ReJymn8/2019-mazda-mx-5-miata-club
2022,Mazda,ND Miata,"15,100",Clean (CA),"Concord, CA 94521",2.0L I4,Rear-wheel drive,Manual (6-Speed),Convertible,Soul Red Crystal Metallic,Black,9,31000,6/24/25,https://carsandbids.com/auctions/35JYkVjE/2022-mazda-mx-5-miata-club
2022,Mazda,ND Miata,"6,200",Clean (UT),"Lehi, UT 84043",2.0L I4,Rear-wheel drive,Manual (6-Speed),Convertible,Soul Red Crystal Metallic,Black,2,29000,6/13/25,https://carsandbids.com/auctions/KDqpjagM/2022-mazda-mx-5-miata-club
2023,Mazda,ND Miata,"12,200",Clean (AL),"Hollywood, FL 33024",2.0L I4,Rear-wheel drive,Manual (6-Speed),Convertible,Snowflake White Pearl,Black,2,23250,6/6/25,https://carsandbids.com/auctions/3v8QeW5j/2023-mazda-mx-5-miata-club
2021,Mazda,ND Miata,"4,600",Clean (VA),"Ashburn, VA 20148",2.0L I4,Rear-wheel drive,Manual (6-Speed),Convertible,Machine Gray Metallic,Black,2,25250,5/30/25,https://carsandbids.com/auctions/KYpyXe5E/2021-mazda-mx-5-miata-rf-club
2023,Mazda,ND Miata,"6,200",Clean (AL),"Troy, AL 36079",2.0L I4,Rear-wheel drive,Manual (6-Speed),Convertible,Deep Crystal Blue Mica,Black,8,29531,5/29/25,https://carsandbids.com/auctions/r4ewbban/2023-mazda-mx-5-miata-club
2016,Mazda,ND Miata,"6,500",Clean (CO),"Loveland, CO 80538",2.0L I4,Rear-wheel drive,Manual (6-Speed),Convertible,Ceramic Metallic,Black,1,17700,5/27/25,https://carsandbids.com/auctions/rMPW4LXa/2016-mazda-mx-5-miata-sport
2021,Mazda,ND Miata,"6,900",Clean (CA),"San Mateo, CA 94401",2.0L Inline-4,Rear-wheel drive,Manual (6-Speed),Convertible,White,Black (Stripped),24,22472,5/22/25,https://carsandbids.com/auctions/36V6ZzOP/2021-mazda-mx-5-miata-sport
2022,Mazda,ND Miata,"11,700",Clean (WA),"Bonney Lake, WA 98391",2.0L I4,Rear-wheel drive,Manual (6-Speed),Convertible,Jet Black Mica,Black,9,25000,5/20/25,https://carsandbids.com/auctions/3g4WqJwE/2022-mazda-mx-5-miata-grand-touring
2020,Mazda,ND Miata,"4,400",Clean (CA),"Cambria, CA 93428",2.0L I4,Rear-wheel drive,Manual (6-Speed),Convertible,Eternal Blue,Black,0,26000,5/19/25,https://carsandbids.com/auctions/rjqdXbRo/2020-mazda-mx-5-miata-grand-touring
2019,Mazda,ND Miata,"37,100",Clean (PA),"York, PA 17403",2.0L I4,Rear-wheel drive,Manual (6-Speed),Convertible,Snowflake White Pearl,Auburn,2,23250,5/6/25,https://carsandbids.com/auctions/rbxNOxdd/2019-mazda-mx-5-miata-grand-touring
2016,Mazda,ND Miata,"54,500",Clean (SC),"Greer, SC 29650",2.0L Supercharged I4,Rear-wheel drive,Manual (6-Speed),Convertible,Soul Red Metallic,Black,13,24250,4/29/25,https://carsandbids.com/auctions/9lzDaw8m/2016-mazda-mx-5-miata-club
2019,Mazda,ND Miata,"13,700",Clean (TN),"Pigeon Forge, TN 37863",2.0L I4,Rear-wheel drive,Manual (6-Speed),Convertible,Soul Red Crystal,Black,1,25250,4/25/25,https://carsandbids.com/auctions/KDEmykA8/2019-mazda-mx-5-miata-rf-grand-touring
2022,Mazda,ND Miata,"4,100",Clean (VA),"Williamsburg, VA 23188",2.0L I4,Rear-wheel drive,Manual (6-Speed),Convertible,Snowflake White Pearl,Black,0,31000,4/18/25,https://carsandbids.com/auctions/9lBDQAZN/2022-mazda-mx-5-miata-rf-club
