year,make,model,mileage,title_status,location,engine,drivetrain,transmission,body_style,exterior_color,interior_color,num_modifications,sale_price,date,url
2019,BMW,F8X M4,"38,465 miles",Clean (TX),"Lewisville, TX 75067",3.0L Turbocharged I6,Rear-wheel drive,Manual (6-Speed),Convertible,Mineral White Metallic,Silverstone,2,47973,9/1/24,https://carsandbids.com/auctions/rhEAiHoI/2019-bmw-m4-convertible-competition-package-3
2015,BMW,F8X M4,"96,548 miles",Clean (IL),"Evanston, IL 60201",3.0L Turbocharged I6,Rear-wheel drive,Automatic (7-Speed),Coupe,Mineral Grey Metallic,Black,7,27977,1/16/25,https://carsandbids.com/auctions/JJRzhbuX/2015-bmw-m4-coupe
2015,BMW,F8X M4,"69,845 miles",Clean (PA),"Easton, PA 18042",3.0L Turbocharged I6,Rear-wheel drive,Automatic (7-Speed),Convertible,Mineral Gray Metallic,Sakhir Orange,19,26153,9/10/25,https://carsandbids.com/auctions/GytvukFh/2015-bmw-m4-convertible
2018,BMW,F8X M4,"122,905 miles",Clean (CA),"Walnut Creek, CA 94598",3.0L Turbocharged I6,Rear-wheel drive,Automatic (7-Speed),Coupe,Black Sapphire Metallic,Black,1,24855,7/25/24,https://carsandbids.com/auctions/ojmLVOkV/2018-bmw-m4-coupe-competition-package-v2
2018,BMW,F8X M4,"23,220 miles",Clean (FL),"Miami, FL 33132",3.0L Turbocharged I6,Rear-wheel drive,Automatic (7-Speed),Coupe,Mineral White Metallic,Black,4,52760,9/18/23,https://carsandbids.com/auctions/NM1MjeBs/2018-bmw-m4-coupe-competition-package-3
2015,BMW,F8X M4,"33,881 miles",Clean (TN),"Hendersonville, TN 37075",3.0L Turbocharged I6,Rear-wheel drive,Manual (6-Speed),Convertible,Yas Marina Blue Metallic,Silverstone II,2,47613,5/16/22,https://carsandbids.com/auctions/e11MFCIX/2015-bmw-m4-convertible
2018,BMW,F8X M4,"24,687 miles",Clean (WA),"Lakebay, WA 98349",3.0L Turbocharged I6,Rear-wheel drive,Automatic (7-Speed),Convertible,Yas Marina Blue Metallic,Silverstone,13,57219,7/22/23,https://carsandbids.com/auctions/BYZ8fOcR/2018-bmw-m4-convertible-competition-package-v2
2016,BMW,F8X M4,"77,235 miles",Clean (CA),"San Jose, CA 95112",3.0L Turbocharged I6,Rear-wheel drive,Automatic (7-Speed),Convertible,Austin Yellow Metallic,Black,28,29672,1/16/26,https://carsandbids.com/auctions/uLWOefQr/2016-bmw-m4-convertible
2018,BMW,F8X M4,"29,444 miles",Clean (GA),"Lawrenceville, GA 30044",3.0L Turbocharged I6,Rear-wheel drive,Manual (6-Speed),Coupe,Yas Marina Blue,Black,3,57524,6/24/22,https://carsandbids.com/auctions/OPhRfINu/2018-bmw-m4-coupe-competition-package-2
2017,BMW,F8X M4,"52,656 miles",Clean (NJ),"Maplewood, NJ 07040",3.0L Turbocharged I6,Rear-wheel drive,Automatic (7-Speed),Convertible,Black Sapphire Metallic,Silverstone,0,31767,9/24/25,https://carsandbids.com/auctions/ln6Eoie0/2017-bmw-m4-convertible
2016,BMW,F8X M4,"57,528 miles",Clean (TX),"San Antonio, TX 78216",3.0L Turbocharged I6,Rear-wheel drive,Manual (6-Speed),Coupe,Mineral Grey Metallic,Black,0,36645,8/17/21,https://carsandbids.com/auctions/LjlQM3Sc/2016-bmw-m4-coupe-3
2016,BMW,F8X M4,"25,419 miles",Clean (CA),"Hercules, CA 94547",3.0L Turbocharged I6,Rear-wheel drive,Manual (6-Speed),Convertible,Black Sapphire Metallic,Sakhir Orange,16,41494,10/6/23,https://carsandbids.com/auctions/oo7W4mQJ/2016-bmw-m4-convertible-v2
2020,BMW,F8X M4,"27,179 miles",Clean (OR),"Damascus, OR 97089",3.0L Turbocharged I6,Rear-wheel drive,Automatic (7-Speed),Coupe,Mineral White Metallic,Sakhir Orange,6,48901,10/28/24,https://carsandbids.com/auctions/XipN2Ig0/2020-bmw-m4-coupe-competition-package
2019,BMW,F8X M4,"4,523 miles",Clean (NY),"Jericho, NY 11753",3.0L Turbocharged I6,Rear-wheel drive,Automatic (7-Speed),Convertible,Black Sapphire Metallic,Black,2,63668,9/13/22,https://carsandbids.com/auctions/f4Y25zyx/2018-bmw-m4-convertible-competition-package-v2
2016,BMW,F8X M4,"57,118 miles",Clean (TX),"San Antonio, TX 78216",3.0L Turbocharged I6,Rear-wheel drive,Manual (6-Speed),Coupe,Mineral Grey Metallic,Black,0,32897,8/7/21,https://carsandbids.com/auctions/irZRiRBa/2016-bmw-m4-coupe
2019,BMW,F8X M4,"5,676 miles",Clean (CA),"San Francisco, CA 94114",3.0L Turbocharged I6,Rear-wheel drive,Automatic (7-Speed),Coupe,Lime Rock Grey Metallic,Black,0,71532,5/28/22,https://carsandbids.com/auctions/grscAXCg/2019-bmw-m4-cs-v2
2020,BMW,F8X M4,"7,612 miles",Clean (CA),"San Francisco, CA 94114",3.0L Turbocharged I6,Rear-wheel drive,Automatic (7-Speed),Coupe,Lime Rock Grey Metallic,Black,0,70524,6/28/22,https://carsandbids.com/auctions/avJlPGw7/2019-bmw-m4-cs
2020,BMW,F8X M4,"24,656 miles",Clean (OR),"Damascus, OR 97089",3.0L Turbocharged I6,Rear-wheel drive,Automatic (7-Speed),Coupe,Mineral White Metallic,Sakhir Orange,6,47067,11/5/24,https://carsandbids.com/auctions/pbWvTMVT/2020-bmw-m4-coupe-competition-package-3
2018,BMW,F8X M4,"20,949 miles",Clean (NY),"Chapel Hill, NC 27517",3.0L Turbocharged I6,Rear-wheel drive,Automatic (7-Speed),Coupe,Black Sapphire Metallic,Black,5,52874,2/14/24,https://carsandbids.com/auctions/CRNYdWCs/2018-bmw-m4-coupe-competition-package
2018,BMW,F8X M4,"37,281 miles",Clean (CA),"Los Angeles, CA 90025",3.0L Turbocharged I6,Rear-wheel drive,Automatic (7-Speed),Coupe,Mineral Gray Metallic,Black,0,48203,2/12/26,https://carsandbids.com/auctions/HpUlwW1u/2018-bmw-m4-coupe
2020,BMW,F8X M4,"31,373 miles",Clean (TX),"Lewisville, TX 75067",3.0L Turbocharged I6,Rear-wheel drive,Manual (6-Speed),Convertible,Mineral White Metallic,Silverstone,2,55579,9/4/24,https://carsandbids.com/auctions/8EE5GXTe/2019-bmw-m4-convertible-competition-package
2016,BMW,F8X M4,"84,385 miles",Clean (NM),"Las Cruces, NM 88012",3.0L Turbocharged I6,Rear-wheel drive,Automatic (7-Speed),Coupe,Black Sapphire Metallic,Black,7,33991,12/8/24,https://carsandbids.com/auctions/LAQvc1v9/2016-bmw-m4-coupe-3
2015,BMW,F8X M4,"46,880 miles",Clean (TX),"Houston, TX 77044",3.0L Turbocharged I6,Rear-wheel drive,Automatic (7-Speed),Coupe,Yas Marina Blue,Black,19,37389,8/20/24,https://carsandbids.com/auctions/Q7iLWceW/2015-bmw-m4-coupe-3
2015,BMW,F8X M4,"81,924 miles",Clean (FL),"Daytona Beach, FL 32118",3.0L Turbocharged I6,Rear-wheel drive,Automatic (7-Speed),Convertible,Yas Marina Blue Metallic,Black,3,28245,8/21/23,https://carsandbids.com/auctions/xVJGyOph/2015-bmw-m4-convertible-2
2016,BMW,F8X M4,"71,836 miles","Clean (ON, Canada)","Ottawa, ON, Canada",3.0L Turbocharged I6,Rear-wheel drive,Manual (6-Speed),Coupe,Black Sapphire Metallic,Silverstone,8,29391,12/3/25,https://carsandbids.com/auctions/r4Eh0C3B/2016-bmw-m4-coupe
2017,BMW,F8X M4,"73,421 miles",Clean (FL),"Vero Beach, FL 32968",3.0L Turbocharged I6,Rear-wheel drive,Automatic (7-Speed),Convertible,Yas Marina Blue Metallic,Silverstone,0,33527,12/22/23,https://carsandbids.com/auctions/ssjRRkwn/2017-bmw-m4-convertible-competition-package-2
2020,BMW,F8X M4,"29,456 miles",Clean (OR),"Damascus, OR 97089",3.0L Turbocharged I6,Rear-wheel drive,Automatic (7-Speed),Coupe,Mineral White Metallic,Sakhir Orange,6,46590,12/15/24,https://carsandbids.com/auctions/i2eySDzz/2020-bmw-m4-coupe-competition-package
2015,BMW,F8X M4,"52,332 miles",Clean (MT),"Los Gatos, CA 95030",3.0L Turbocharged I6,Rear-wheel drive,Automatic (7-Speed),Coupe,Mineral Gray Metallic,Sakhir Orange,11,33095,5/3/24,https://carsandbids.com/auctions/2WNl7A4d/2015-bmw-m4-coupe
2018,BMW,F8X M4,"98,752 miles",Clean (NJ),"Union, NJ 07083",3.0L Turbocharged I6,Rear-wheel drive,Automatic (7-Speed),Coupe,Black Sapphire Metallic,Sakhir Orange,10,26214,1/28/26,https://carsandbids.com/auctions/630pNIhs/2018-bmw-m4-coupe
2015,BMW,F8X M4,"37,442 miles",Clean (FL),"Kissimmee, FL 34758",3.0L Turbocharged I6,Rear-wheel drive,Automatic (7-Speed),Coupe,Mineral White Metallic,Sakhir Orange/Black,7,33200,10/14/23,https://carsandbids.com/auctions/SL0IZbcN/2015-bmw-m4-coupe
2015,BMW,F8X M4,"60,625 miles",Clean (CA),"Carmel Valley, CA 93924",3.0L Turbocharged I6,Rear-wheel drive,Automatic (7-Speed),Convertible,Alpine White,Black,1,30816,9/12/24,https://carsandbids.com/auctions/Mr7DXQse/2015-bmw-m4-convertible
2015,BMW,F8X M4,"57,104 miles",Clean (FL),"Los Angeles, CA 90064",3.0L Turbocharged I6,Rear-wheel drive,Automatic (7-Speed),Coupe,Sakhir Orange,Black,7,42752,5/14/21,https://carsandbids.com/auctions/T18iwItC/2015-bmw-m4-coupe-3
2015,BMW,F8X M4,"71,293 miles",Clean (CA),"Santa Monica, CA 90403",3.0L Turbocharged I6,Rear-wheel drive,Manual (6-Speed),Coupe,Black Sapphire Metallic,Anthracite,2,34903,9/12/22,https://carsandbids.com/auctions/73Y5Slj9/2015-bmw-m4-coupe-v2
2016,BMW,F8X M4,"48,491 miles",Clean (TN),"Hendersonville, TN 37075",3.0L Turbocharged I6,Rear-wheel drive,Automatic (7-Speed),Coupe,Austin Yellow Metallic,Black,2,36591,10/23/24,https://carsandbids.com/auctions/nvdE2ODH/2016-bmw-m4-coupe-competition-package
2016,BMW,F8X M4,"52,327 miles",Clean (FL),"Maitland, FL 32751",3.0L Turbocharged I6,Rear-wheel drive,Automatic (7-Speed),Coupe,Black Sapphire Metallic,Black,2,33569,1/14/21,https://carsandbids.com/auctions/JmIeFVr9/2016-bmw-m4-coupe-competition-package
2016,BMW,F8X M4,"19,877 miles",Clean (TX),"San Antonio, TX 78216",3.0L Turbocharged I6,Rear-wheel drive,Automatic (7-Speed),Convertible,Mineral Gray Metallic,Sakhir Orange/Black,0,49332,7/8/22,https://carsandbids.com/auctions/wiLyccSX/2016-bmw-m4-convertible
