year,make,model,mileage,title_status,location,engine,drivetrain,transmission,body_style,exterior_color,interior_color,num_modifications,sale_price,date,url,has_forced_induction,state
2019,Mazda,ND Miata,17000,Clean,"Reno, NV 89523",2.0L I4,Rear-wheel drive,Manual (6-Speed),Convertible,Machine Gray Metallic,Black,10,28684,08/05/24,https://carsandbids.com/auctions/MPxPJo3I/2019-mazda-mx-5-miata-club,0,NV
2018,Mazda,ND Miata,21600,Clean,"Wilmington, NC 28401",2.0L I4,Rear-wheel drive,Manual (6-Speed),Convertible,Snowflake White Pearl Mica,Black,1,18462,10/21/24,https://carsandbids.com/auctions/146D6MSk/2018-mazda-mx-5-miata-grand-touring,0,NC
2016,Mazda,ND Miata,52600,Clean,"Commerce Township, MI 48382",2.0L Supercharged I4,Rear-wheel drive,Manual (6-Speed),Convertible,Soul Red Metallic,Black,8,15929,08/21/24,https://carsandbids.com/auctions/2CvLCI0t/2016-mazda-mx-5-miata-grand-touring,1,MI
2019,Mazda,ND Miata,6300,Clean,"Las Vegas, NV 89123",2.0L I4,Rear-wheel drive,Manual (6-Speed),Convertible,Soul Red Crystal,Black,3,28315,05/22/24,https://carsandbids.com/auctions/cb6igTUO/2019-mazda-mx-5-miata-club,0,NV
2021,Mazda,ND Miata,28100,Clean,"Lake Charles, LA 70601",2.0L I4,Rear-wheel drive,Manual (6-Speed),Convertible,Machine Gray Metallic,Black,0,22098,02/02/25,https://carsandbids.com/auctions/Lg3GWjSr/2021-mazda-mx-5-miata-rf-grand-touring,0,LA
2020,Mazda,ND Miata,4400,Clean,"Cambria, CA 93428",2.0L I4,Rear-wheel drive,Manual (6-Speed),Convertible,Eternal Blue,Black,0,25356,05/10/25,https://carsandbids.com/auctions/u1F0kqqe/2020-mazda-mx-5-miata-grand-touring,0,CA
2017,Mazda,ND Miata,18500,Clean,"Indianapolis, IN 46201",2.0L I4,Rear-wheel drive,Manual (6-Speed),Convertible,Machine Gray Metallic,Black,1,16929,10/15/24,https://carsandbids.com/auctions/R3oDUM2a/2017-mazda-mx-5-miata-rf-grand-touring,0,IN
2019,Mazda,ND Miata,7400,Clean,"Dayton, OH 45402",2.0L I4,Rear-wheel drive,Manual (6-Speed),Convertible,Machine Gray Metallic,Black,6,25262,08/08/24,https://carsandbids.com/auctions/ZoalNHFb/2019-mazda-mx-5-miata-club,0,OH
2016,Mazda,ND Miata,28000,Clean,"Alexandria, VA 22314",2.0L Supercharged I4,Rear-wheel drive,Manual (6-Speed),Convertible,Ceramic Metallic,Black,17,24189,08/28/22,https://carsandbids.com/auctions/Ej6s7iGP/2016-mazda-mx-5-miata-club,1,VA
2021,Mazda,ND Miata,6400,Clean,"Washington, DC 20002",2.0L I4,Rear-wheel drive,Manual (6-Speed),Convertible,Soul Red Crystal Metallic,White,0,27570,12/26/25,https://carsandbids.com/auctions/XOBexwUl/2021-mazda-mx-5-miata-grand-touring,0,DC
2022,Mazda,ND Miata,8800,Clean,"Star, ID 83669",2.0L I4,Rear-wheel drive,Manual (6-Speed),Convertible,Platinum Quartz Metallc,Terracotta,16,34929,01/08/26,https://carsandbids.com/auctions/eQuqNpym/2022-mazda-mx-5-miata-rf-grand-touring,0,ID
2018,Mazda,ND Miata,48800,Clean,"Springdale, AR 72762",2.0L I4,Rear-wheel drive,Manual (6-Speed),Convertible,Ceramic Metallic,Black,8,17673,02/13/25,https://carsandbids.com/auctions/vdqRHlKS/2018-mazda-mx-5-miata-club,0,AR
2024,Mazda,ND Miata,3100,Clean,"Los Angeles, CA 90022",2.0L I4,Rear-wheel drive,Manual (6-Speed),Convertible,Soul Red Crystal Metallic,Black,3,32673,09/15/25,https://carsandbids.com/auctions/BBJ3NrCU/2024-mazda-mx-5-miata-rf-club,0,CA
2019,Mazda,ND Miata,35200,Clean,"Euless, TX 76040",2.0L Supercharged I4,Rear-wheel drive,Manual (6-Speed),Convertible,Machine Gray Metallic,Black/Red,54,30227,04/29/24,https://carsandbids.com/auctions/4yQiGrVc/2019-mazda-mx-5-miata-rf-club,1,TX
2021,Mazda,ND Miata,13500,Clean,"Orem, UT 84058",2.0L I4,Rear-wheel drive,Manual (6-Speed),Convertible,Deep Crystal Blue Mica,White,0,30669,07/02/23,https://carsandbids.com/auctions/3ycwz840/2021-mazda-mx-5-miata-rf-grand-touring,0,UT
2017,Mazda,ND Miata,5900,Clean,"King Of Prussia, PA 19406",2.0L I4,Rear-wheel drive,Manual (6-Speed),Convertible,Meteor Gray Mica,Sport Tan,1,22320,12/13/24,https://carsandbids.com/auctions/YLF3uCL7/2017-mazda-mx-5-miata-grand-touring,0,PA
2019,Mazda,ND Miata,24200,Clean,"McKinney, TX 75072",2.0L I4,Rear-wheel drive,Manual (6-Speed),Convertible,Machine Gray Metallic,Black,7,26685,01/04/24,https://carsandbids.com/auctions/ZyORIImv/2019-mazda-mx-5-miata-club,0,TX
2016,Mazda,ND Miata,61400,Clean,"Phoenix, AZ 85027",2.0L Supercharged I4,Rear-wheel drive,Manual (6-Speed),Convertible,Soul Red Metallic,Black,9,16479,12/31/25,https://carsandbids.com/auctions/hU5XqkoD/2016-mazda-mx-5-miata-grand-touring,1,AZ
2019,Mazda,ND Miata,4600,Clean,"Lexington, SC 29072",2.0L I4,Rear-wheel drive,Manual (6-Speed),Convertible,Racing Orange,Black,6,38558,02/21/22,https://carsandbids.com/auctions/PTo0zbRe/2019-mazda-mx-5-miata-rf-30th-anniversary-edition,0,SC
2022,Mazda,ND Miata,7900,Clean,"Fort Worth, TX 76110",2.0L I4,Rear-wheel drive,Manual (6-Speed),Convertible,Polymetal Gray Metallic,Black,1,25362,10/31/24,https://carsandbids.com/auctions/5Eshs7XO/2022-mazda-mx-5-miata-club,0,TX
2019,Mazda,ND Miata,10000,Clean,"Vista, CA 92081",2.0L I4,Rear-wheel drive,Manual (6-Speed),Convertible,Soul Red Crystal,Black,8,31512,07/20/23,https://carsandbids.com/auctions/bHwjuAeH/2019-mazda-mx-5-miata-rf-club,0,CA
2016,Mazda,ND Miata,14900,Clean,"Sequim, WA 98382",2.0L I4,Rear-wheel drive,Automatic (6-Speed),Convertible,Soul Red Metallic,Black,0,18161,06/03/24,https://carsandbids.com/auctions/5VB0EDk6/2016-mazda-mx-5-miata-grand-touring,0,WA
2019,Mazda,ND Miata,31700,Clean,"Arlington Heights, IL 60005",2.0L I4,Rear-wheel drive,Manual (6-Speed),Convertible,Machine Gray Metallic,Black,2,24694,04/16/23,https://carsandbids.com/auctions/VHVQFKbt/2019-mazda-mx-5-miata-rf-club,0,IL
