year,make,model,mileage,title_status,location,engine,drivetrain,transmission,body_style,exterior_color,interior_color,num_modifications,sale_price,date,url,image_url,has_forced_induction,state
2003,Porsche,996 911,73375,Clean,"Solana Beach, CA 92075",3.6L Flat-6,Rear-wheel drive,Manual (6-Speed),Coupe,Midnight Blue Metallic,Savanna Beige,1,23914,6/6/24,https://carsandbids.com/auctions/WGvgSCec/2003-porsche-911-carrera-coupe,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/9004500a220bf3a3d455d15ee052cf8c332606f8/photos/rkwk8k84-fj2pRl_yfC-(edit).jpg?t=171977326554",0,CA
2000,Porsche,996 911,78948,Clean,"Windsor, CO 80550",3.4L Flat-6,Rear-wheel drive,Manual (6-Speed),Convertible,Arctic Silver Metallic,Black,0,22221,4/11/26,https://carsandbids.com/auctions/pkjI7ozl/2000-porsche-911-carrera-cabriolet-v2,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/da6e8a1d4896127a9d2adf83461993b45339474c/photos/exterior/rNNZGVnE-Ks1eT5L/edit/3Wz5b.jpg?t=177456399496",0,CO
2004,Porsche,996 911,51509,Clean,"New Hartford, NY 13413",3.6L Turbocharged Flat-6,4WD/AWD,Manual (6-Speed),Convertible,Arctic Silver Metallic,Metropol Blue,9,56763,6/12/22,https://carsandbids.com/auctions/mUYdg2lu/2004-porsche-911-turbo-cabriolet-v2,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/d9b636c2ec84ddc3bc7f2eb32861b39bdd5f9683/photos/9aAjEnLl-SVygajfwSV-(edit).jpg?t=165350860771",1,NY
2001,Porsche,996 911,93069,Clean,"Burlingame, CA 94010",3.4L Flat-6,Rear-wheel drive,Manual (6-Speed),Convertible,Lapis Blue Metallic,Metropol Blue,2,23839,5/20/23,https://carsandbids.com/auctions/LKv0MYRs/2001-porsche-911-carrera-cabriolet,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/d9b636c2ec84ddc3bc7f2eb32861b39bdd5f9683/photos/r4GDw7Py-zOtjBHQJxK-(edit).jpg?t=168065238682",0,CA
2000,Porsche,996 911,166481,Clean,"Boulder Creek, CA 95006",3.4L Flat-6,Rear-wheel drive,Manual (6-Speed),Convertible,Polar Silver Metallic,Black,6,14233,8/15/22,https://carsandbids.com/auctions/iyKJAEH4/2000-porsche-911-carrera-cabriolet-2,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/20309e251cb7341d1fb94cb5d4546882260d2202/photos/9QqyORvk-2zZjQ1YseK-(edit).jpg?t=165655797329",0,CA
1999,Porsche,996 911,35691,Clean,"Labadie, MO 63055",3.4L Flat-6,Rear-wheel drive,Manual (6-Speed),Convertible,Black,Black,2,27821,10/1/22,https://carsandbids.com/auctions/7EmxIOzE/1999-porsche-911-carrera-cabriolet-v2,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/59339d5e07287c702e69307de910cceaa69c1d04/photos/rEJoYL1d-hHB3T5pbTX-(edit).jpg?t=166390925612",0,MO
2002,Porsche,996 911,172234,Clean,"San Jose, CA 95112",3.6L Flat-6,Rear-wheel drive,Manual (6-Speed),Coupe,Seal Grey Metallic,Black,8,24408,3/17/26,https://carsandbids.com/auctions/HkCUVIhh/2002-porsche-911-carrera-4s-coupe,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/20309e251cb7341d1fb94cb5d4546882260d2202/photos/KZBpWwmG-e4kejtA/edit/EacOd.jpg?t=177318255868",0,CA
2003,Porsche,996 911,93213,Clean,"Nashville, TN 37209",3.6L Flat-6,4WD/AWD,Manual (6-Speed),Coupe,Meridian Metallic,Graphite Gray,4,31933,3/6/21,https://carsandbids.com/auctions/gZUs9BvY/2003-porsche-911-carrera-4s-coupe-v2,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/9933fc815a41cfeb8fd492a22d5008aea4e877d2/photos/6416546814.CfdLR-F32.jfif?t=161195103032",0,TN
2004,Porsche,996 911,84897,Clean,"Cincinnati, OH 45227",3.6L Flat-6,Rear-wheel drive,Manual (6-Speed),Coupe,GT Silver Metallic,Natural Grey,4,35874,8/15/22,https://carsandbids.com/auctions/AMWYXJHL/2004-porsche-911-carrera-coupe-40th-anniversary-edition-2,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/59339d5e07287c702e69307de910cceaa69c1d04/photos/30R0pLAp-nQJ3fW0Zwu-(edit).jpg?t=165816935950",0,OH
2003,Porsche,996 911,123250,Clean,"Brooklyn, NY 11207",3.6L Flat-6,Rear-wheel drive,Manual (6-Speed),Coupe,Speed Yellow,Black,8,20158,7/1/24,https://carsandbids.com/auctions/3YiUzdrO/2003-porsche-911-carrera-coupe-2,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/da4b9237bacccdf19c0760cab7aec4a8359010b0/photos/9ldq0ZV2-Zfdf4pmga2.jpg?t=171927366567",0,NY
